,cos_tr,cos_te,c,parsed_body_ans
650,,,,can you please explain what you are trying to do?
651,,,,you may use dev c++ on  windows 10.
652,,,,"firstly make sure all the images are present in current working directory.then use ""imread"" command to read the image file into an array."
653,,,,in the cvpcb window: 1) select a component 2) select the library out of which you want the footprint 3) then the available footprints will appear in the third(right-most) panel.
654,,,,"i got it, thanks."
655,,,,"assignment 1#include<stdio.h>#include<conio.h>{  printf(""welcome to the world of c\n"");  return 0;}  //output : welcome to the world of c  ans: cursor will blink on that line only."
656,,,,"spoken tutorial on building the walls of the slurry tank says to make a hole of 6 inches diameter. kindly follow the steps as mentioned in the tutorial for a fully functional biogas plant.for more details you may contact - dr. prasad deodharbhagirath rural development foundationvillage- zarap, taluka- kudal,dist.- sindhudurg contact number - 9422596500"
657,,,,all the spoken tutorials related to esim are available on https://spoken-tutorial.org/tutorial-search/?search_foss=esim&search_language=english
658,,,,"at 7:06, the video shows about csv file.please go through the instructions given in the additional reading material of this tutorial in the below link.https://spoken-tutorial.org/media/videos/97/1106/resources/users-in-moodle-additionalmaterial.pdf"
659,,,,download the version that was released in march 2020. 
660,,,,"please make the necessary changes as instructed in the tutorial in the tools option. e.g. reset method, led"
661,,,,type editor in the console.
662,,,,"dear ma'am/sir,please check whether the files are at esim-1.1.2>>src>>devicemodellibrary>>transistor for bc547 and esim-1.1.2>>src>>devicemodellibrary>>diode for led.these files are present in the latest installer."
663,,,,"as mentioned in the simulation tutorial, we are using kinematic pressure. paraview gives you results of kinematic pressure which means you have to calculate static pressure manually by multiplying it to 1000 here.thanks,divyesh variya"
664,,,,now the problem has been resolved. thanks
665,,,,"please check whether mass is already installed as some versions of r come up with this package as pre-installed ones. also, you need to make sure that you have a working internet connection while installing the packages.  "
666,,,,"hello,go to file menu and select close option.alternatively, choose ctrl+q from the keyboard."
667,,,,"for interchanging row 1 and 3,a([1 3],:)=a([3 1],:)"
668,,,,"hello,yes it will work."
669,,,,"hello,for https, you have to configure https certificates with your web servers like, nginx/httpd. if you want you can use lets-encrypt free certificates for https. it's free for 90 days only, so you have to renew certificates every 90 days.kindly check this link ""https://letsencrypt.org/""  for more information on https configuration. "
670,,,,"in brief, report consists of different chapters while article consists of sections. "
671,,,,"greetings dileep,kindly go through the xampp installation tutorial (for both windows and linux are available) under php & mysql foss category in our website. this will help you in the installation and working with php. brackets and notepad are application, which helps only to write your code. you can use any text editor or wysiwyg editor for this."
672,,,,"hi srikarg,it's a mistake. in the constant -> turbulenceproperties file, keep the simulationtype as laminar instead of ras;you can comment the section of ras properties and keep only the linesimulationtype laminar;thanks for pointing the mistake. will incorporate the correction in the website.regards,sathish"
673,,,,anaconda version!! im  a complete newbie!!https://drive.google.com/file/d/0b7whdo_w5jttmuphlvluwvh4rta/view?usp=sharing
674,,,,kindly compare your code with the code show in the video. for practice purpose we suggest you to use the code files available below the player.
675,,,,"x[0], x[1], x[2] contains the 3 separate simple sequences."
676,,,,go to the moodle folder. edit config.php filechange the following line$cfg->wwwroot = 'http://localhost/moodle'; to #$cfg->wwwroot = 'http://your ip address/moodle';
677,,,,"you can use ""plot over time"" filter to plot data. but first you need to add a ""probe"" at the point you want all data to be plotted.thanks,divyesh"
678,,,,please look for different options on top of palette window.
679,,,,"mam,actually i dont know where is the code file section"
680,,,,"pleae use %cat the % symbol is important, if that still does not work please try using %pycat or !type followed by filename/filepath"
681,,,,mini biogas plant we can use it for domestic purpose like cooking
682,,,,"dear sirthe spoken tutorial forums 
facility currently offers technical support only,  the forum does not 
provide support for non-technical queries. for queries regarding the workshops request you to kindly contact the event manager or resource persons of the spoken tutorial project through email or telephone.thank yourahulquality controlspoken tutorial project."
683,,,,in linux it works(as you've seen in spoken-tutorial) in windows you might have to specify the complete path.
684,,,,the name of the file is pendulum.txtand not pedulum.txt
685,,,,please elaborate
686,,,,"sir,one of the nodes connected through the switch is ground terminal sir. the cntl_in is from a pulse source. i get an error after erc check saying that the pin of analog switch is connected to pwr_flag pin. eliminating the pwr_flag gives another erc error sir."
687,,,,there are many printers that can do this.  you can contact a vendor of printers to get an answer to this question.
688,,,,this post is really helpful for me.http://www.onlinepillsshop.net
689,,,,"dear vigneshwarigopalan,it happens when there is internet fluctuation and the data doesn't load. please note, if the bandwidth provided is less, the page would still take some time to load.thank you."
690,,,,"this is explained in a tutorial, ""desktop customization"" under ""linux"". kindly go through it. "
691,,,,can you please post the entire code you tried executing? the information you gave is insufficient for me to understand what exactly the issue is.thanks.
692,,,,"a pointer is a special variable which is used to store address of another variable.for ex.   int a;   int *p=&a;in the above example, a is an integer type variable. p is a pointer variable which is used to store address of integer variable."
693,,,,you can also use !type primes.txt
694,,,,"for adding columns at the desired location in a data frame, you might want to utilize one of the options given on https://stackoverflow.com/questions/13502601/add-insert-a-column-between-two-columns-in-a-data-frame"
695,,,,"to install the xmlrpc library on windows- open the php.ini file found in the moodle/apache/bin folder- find the line: ;extension=php_xmlrpc.dll- remove the ; at the beginning of the line- restart apache if necessarysame should work for intl, soap etc.some helpful links:- https://www.youtube.com/watch?v=cfjvokidhzk- https://docs.moodle.org/38/en/installing_php_on_windows#editing_the_php.ini_file- https://docs.moodle.org/38/en/admin/environment/php_extension/xmlrpc- https://docs.moodle.org/38/en/admin/environment/php_extension/intl- https://docs.moodle.org/38/en/admin/environment/php_extension/soaplet us know if you have any further queries."
696,,,,"dear sir,the paths given to esim possibly contains space characters in between them. when you launch esim, an option windows comes asking you to select a folder or path for esim-workspace, choose one such folder or path which does not have spaces in them.when creating a new project, please select a folder which will not have a space character in it.and secondly, when opening an schematic, please store it in a folder/path, which does not have any spaces in them."
697,,,,"you can remove multiple occurrences from a list with list comprehensiondef remove_values_from_list(the_list, val):    return [value for value in the_list if value != val]"
698,,,,"before you click on click on covert kicad to ngspice, you should have created the .cir netlist for it. the procedure for that is : 1. click on generate netlist button. 2. click on the spice tab [ this is very important], select the default format window, and click on generate.is it possible you created some other netlist other than .cir?"
699,,,,"yes, you can add a new column to a specific position using .before and .after option in add_column function from the tibble package"
700,,,,"the plot aims to show the relationship between v, volume, on x axis,  and the formula nrt/v on y axis , since nrt is a constant equal to 2 hence the formula is simplified to 2/vhope this answers your query, in case it doesn't please point to the exact point/timestamp in the video. to let us help you better."
701,,,,punctuation marks are not allowed in the marc records. it will take automatically. 
702,,,,"the maximum courant number that is permissible depends on the stability of our governing equations. governing differential equations can be solved using two different temporal numerical schemes. 1) explicit 2) implicit courant no. < 1 is a strict restriction when using explicit solution approach. for higher value, this approach leads to unstable diverging solutions. however, this condition can be relaxed in case of implicit approach and higher courant number can also give stable solution. the maximum permissible courant no. in case of implicit numerical scheme depends on problem specifications.however, courant no <1 is stable criteria for all schemes and hence it is advisable to follow this for simpler problems where computational times are low. "
703,,,,this video can be accessed anytime from the following link:https://spoken-tutorial.org/watch/moodle%2blearning%2bmanagement%2bsystem/overview%2bof%2bmoodle/english/
704,,,,thanks for pointing out. it is '' ane '' .
705,,,,"if you want to calculate minimum value of mat a and its index then use,[min_val,index]=min(a)"
706,,,,i cannot comment on the internal working of both commands. though the output of both the commands will be identical. it would be hasty to say that all commands in python are the same though since r is a data analytics and visualization specific language a lot fo the commands in this specialization will be similar.since i am a python programmer you know what my answer will be to choosing r or python. although you will have to understand what you wish to achieve and what the 2 languages are good to make a choice between the two
707,,,,"when a function is defined with default parameters like sodef myfunc(arg1, arg2=99, arg3='mystr'):    ...you can call the function such that you may or may not have to specify the arg2 and arg3 valueshence all these are legal function calls for the above definition:myfunc(22, 99, ""new-string"")myfunc(22, 99)myfunc(22)"
708,,,,possible. you can edit the role permissions according to your requirement
709,,,,that is the correct answer. this question is meant to motivate an understanding of inconsistent matrix operations.
710,,,,"hello,yes, you can download an iso file of the complete distribution of latex and then re-use it several times, offline, as supposed to re-downloading it on every computer. please see this link https://ctan.org/tex-archive/systems/texlive/images and download the file ""texlive.iso"". please read the information on this page while you are downloading the file. notice that the file is huge (around 3.5 gb). so i recommend using a download manager. see this link to download and install ""uget"" download manager http://www.linuxandubuntu.com/home/5-best-linux-download-managers . download managers will be extremely useful if you are expecting frequent disconnects in the internet connection. you can even buy the official copy of the dvd from https://www.tug.org/store/after you finish downloading the iso file, see the instructions on this page to learn how to install latex from the iso file https://tex.stackexchange.com/questions/370256/how-to-install-tex-live-offline-on-ubuntu the instructions are suggested by a latex user and have not been tested by me. however, they seem to be quite straight forward and should work.get back to us in case if you face difficulties. if you succeed, please let us know.rupak"
711,,,,did you check if there is an entry for python in the system environment variable path? also open cmd prompt and type python. what does it say? 
712,,,,
713,,,,"please contact the spoken tutorial team, for contact info please see here https://process.spoken-tutorial.org/index.php/software-training#contacts_for_training"
714,,,,"hi,you have to set the path for system variables. kindly execute the following steps:right-click on my computer. click on properties.then click on the advanced tab or advanced system settings link.click on environment variables.then under system variables select the path.double-click on the path.this will open a dialog box to edit the system variable.in variable value, type the location where the bin file is present. add a semicolon (;) before adding the path.\r\nfor example: ;c:/mingw/bin "
715,,,,"what problems are you facing?  if you have difficulty in following the steps, you may want to listen to the tutorial in your mother tongue and try again.  many language dubbed tutorials are available on the spoken tutorial website.  for example, the hindi dubbing is available here: https://spoken-tutorial.org/tutorial-search/?search_foss=latex&search_language=hindi.  from the same page, you can access dubbing in other languages also."
716,,,,how to create such file cir.out files as it's been shown examples of other circuit but not in one which i had created
717,,,,"in the newer versions of moodle, it does not show the count near the course title.you will be able to see the enrolled users total count by opening 'participants' tab in the left navigation panel of your course.here, you will be able to view the 'number of participants' under the search bar/filter.to keep track, check this number before enrolling users, and then check it once again after enrolments are done.the difference in the count can be cross-checked with the number of users actually enrolled and to check if all the intended users were properly enrolled or not."
718,,,,fmt means plot format stringbomeans blue circle markerthanks.
719,,,," l=loadtxt(""c:\\users\\monish naware\\desktop\\archana\\python\\football.txt"",usecols=(1,2),delimiter=',')try this command. it seems the error was because of the path."
720,,,,"dear kannan sir,i am unable to provide you an answer right now, since i do not have access to a mac machine right now.  however, i shall get back to you with the necessary information as soon as the concerned person from my team, has tried audacity on a mac machine.  thank you for your patience.thanks and rgds,nancy varkeyproject manager"
721,,,,"//my first program#include<stdio.h>int main(){clrscr();printf(""welcome to the world of c"");getch();return 0;}"
722,,,,kindly elaborate this error.when you are getting this error.
723,,,,"the code files link is available below the video player. for practice, kindly use the code file.if you  are getting any error, compare your code and the code shown in the video it might help yow to resolve the errors."
724,,,,ubuntu linux is an open source operating system.available for free to download and upgrade to the latest version.easy to use.secure and free from virus.you will get a community support.
725,,,,thank you \r\nhttps://foundation.zurb.com
726,,,,"i have installed kicad completely and have set the environment variables to c:\program files(x86)\kicad\bin. do the path of the environment variable being change from c:\kicad\bin to c:\program files(x86)\kicad\bin matter , when i have given proper environment variables "
727,,,,open the assignment link given below the video.read the instruction and do the assignment for that tutorial.
728,,,,"not clear why you have asked this question here?  what is briss?  how is it related to latex or xfig, that too at 1-2 min and 10-20 seconds?"
729,,,,"when you run x=loadtxt(""data.txt"",unpack=true,delimiter="":"") all the columns of the file are stored in the single variable as a array. each column in the file becomes a row in the array.you can also do x,y,z = loadtxt(""data.txt"",unpack=true,delimiter="":""), this will store the first column in x, second column in y and third column in z.when you run l,m=loadtxt(""pendulum_semicolon.txt"",unpack=true,delimiter="";"") individual column is stored in separate variable. here, 1st column from </span>pendulum_semicolon.txt is stored in l and 2nd column is stored in m."
730,,,,have you placed a voltage source in the circuit and specified its value during kicadtongspice conversion process?
731,,,,"hi ashish,openfoam is originally  written in c++, but people have also used "" python "" for writing openfoam codes. you can check out for pyfoam to get more idea. other than this i don't think there is any other language which is used for openfoam codes."
732,,,,"usually, it may not be possible to do fancy graphical operations within a general purpose software like scilab.  there are tools designed for this purpose, gnuplot being an example.  spoken tutorials on gnuplot are available here: https://spoken-tutorial.org/tutorial-search/?search_foss=gnuplot&search_language=english.  using this software, you can do many more fancy things as well.  of course, you can continue to use scilab for computations."
733,,,,"yes. watch the videos, do the exercises and quizzes, complete the course and that's it. cheers."
734,,,,"also, jmeter can be used for load testing moodle system.apache jmeter, designed to load test functional behavior and measure performance->  https://jmeter.apache.org/check this out:moodle docs- jmeter  ->  https://docs.moodle.org/dev/jmeter- jmeter test plan generator  ->  https://docs.moodle.org/38/en/jmeter_test_plan_generatorforum posts:- jmeter scripts  ->  https://moodle.org/mod/forum/discuss.php?d=119443- has anyone successfully run a jmeter test with 1000 users?  ->  https://moodle.org/mod/forum/discuss.php?d=368620- jmeter or loading script/app to simulate concurrent users takng quizzes  ->  https://moodle.org/mod/forum/discuss.php?d=377231other posts:- https://stackoverflow.com/questions/60240044/jmeter-moodle-testing-for-max-concurrent-usage"
735,,,,please type in the full path of your file for example!type /mypath/downloads/primes.txt
736,,,,"dear rashmi sinha,the answer to your question is in the tutorial at ""first cpp program"" between 02:52 and 03:11.  pls watch the tutorial and listen to the explanation between the mentioned time.nancy varkeyst team"
737,,,,we expect both to work. kindly check whether the path given is proper.
738,,,,what problem?
739,,,,"yes, it is possible. although this will only plot a single point on the graph which will not be directly visible unless you colorize it or make it thicker for visibility"
740,,,,same error i am also gettingand my code is perfect
741,,,,yes.
742,,,,"dear anindita,you can download the user manual from http://esim.fossee.in/downloads in the appendix section we have created five example from scratch. you can follow those example.do let us know if you find difficulties in any of the steps."
743,,,,"syanptic is more powerful and was designed as a package manager. ubuntu software center was designed as an ""app-store"" like program.in ubuntu synaptic package manager you can select several packages and install at once.but in ubuntu software center application you cannot do that. you have to select one and click on install and then only can select the next."
744,,,,inconsistent indicates that the elements are not entered equally. check whether in the matrix all the elements are entered.for an example 2x3 matrixa = [2 3 1; 3 4 3] 
745,,,,"yes, you may create arduino based car. "
746,,,,"you can use other compilers like texworks, tex live, etc. else, try downloading miktex in a while. "
747,,,,please follow the steps give here https://help.ubuntu.com/community/sagethanks.
748,,,,"watch the tutorial ""introduction to arduino"" to download arduino ide.https://spoken-tutorial.org/watch/arduino/introduction+to+arduino/english/orfollow the steps given in the installation sheet:https://spoken-tutorial.org/media/videos/85/arduino-installation-sheet-english.pdf"
749,,,,"dear sir,if possible share the software by any means to me.thanks & regards."
750,,,,"hello, when cvpcb is launched, it fetches footprints and other modules from the internet. depending on your internet connection speed, it will take time. the screen will turn grey for a while, once information is fetched, cvpcb window will open up."
751,,,,"the first one is used for element-wise multiplication, whereas the second one for true matrix multiplication. "
752,,,,try this:sudo chmod 0777 /var/www/
753,,,,"you have to type the <span style=""background-color: rgb(250, 250, 250);"">pip install ipython in the command prompt (windows) / terminal (linux) and not inside python shell.</span><span style=""background-color: rgb(250, 250, 250);"">if you still face any issues you can use anaconda </span><a href=""https://www.anaconda.com/products/individual"" style=""background-color: rgb(255, 255, 255);"">https://www.anaconda.com/products/individual</a>."
754,,,,moodle cloud's free trial plan does not allow you to install additional plugins.see here: https://moodlecloud.com/app/en/
755,,,,"you can use any ide tool, whatever is comfortable for you. if you are not familiar with any ide tool then you can use netbeans ide. as netbeans ide is used in the tutorial, it will be easier to follow the tutorial."
756,,,,please mail contact@scilab.in with all your questions. we will be able to help you then.shamika
757,,,,"at 7:06, the video shows about csv file.please go through the instructions given in the additional reading material of this tutorial in the below link.https://spoken-tutorial.org/media/videos/97/1106/resources/users-in-moodle-additionalmaterial.pdf"
758,,,,"dear learner,delighted to know that you are interested in knowing about a possibletest and a certificate in the spoken tutorial courses.our tests are offered ""only through colleges"" at a nominal cost.  we suggestthat you study using our course material during the covid-19 lock down.our tutorials are created for self learning.  please use the forum to ask yourdoubts, as explained in a video on the course page.on your return after your college reopens, tests can be arranged inyour colleges.  for more details, please contact your state representative athttps://process.spoken-tutorial.org/index.php/software-training#contacts_for_training- both phone numbers and email addresses are given in this link.there could be some useful courses for you at https://spoken-tutorial.org, not yet made available on the swayam portal.happy learning,spoken tutorial team"
759,,,,"in order to specify the complete file path you will have to type in the absolute file path.the absolute file path will be passed to loadtxt command as an argumentin windows:example: c:/documents/myfolder/myfile.csvin order to understand the file path of your desired file, use the windows explorer/file explorer and navigate to the where the file is located, right click on the file, open properties and you will find the complete file path specified there.in ubuntu:example: /home/mylocation/myfolder/myfile.csvhere also you can use the file explorer to find the exact file path of your file.in case you are still facing an issue, kindly paste the traceback here and we can help."
760,,,,"//assignment 6 // c++ program to check a is greater than b or less than b#include<iostream>using namespace std;int main() {int a,b;cout<<""enter the value of a and b \n"";cin>>a>>b;if(a>b){cout <<""a is greater than b\n"";} if(b>a){cout<<""b is greater than a\n"";} return 0;} output as follows a=15b=14a is greater than b// c++ program to check which value is greater a, b or c#include<iostream>using namespace std;int main() {int a, b, c;cout<<""enter the value of a, b and c\n"";cin>>a>>b>>c;if(a>b&&a>c) {cout<<""a is greater \n"";} else if(b>a&&b>c) {cout<<""b is greater \n"";} else {cout<<""c is greater \n"";} return 0;} output as follows a=10 b=12c=16c is greater "
761,,,,"the changes are not temporary, the result of the operations is a new array."
762,,,,in updated version of it takes nested loop vle as default flash algorithm. for changing you need to go to settings tab and then to thermodynamics tab where you will find options to change algorithms
763,,,,"were you able to resolve it?if not, then check out these helpful posts:- https://moodle.org/mod/forum/discuss.php?d=228809#p993568- https://moodle.org/mod/forum/discuss.php?d=269769#p1163944"
764,,,,"put a slash in front of them.  that is, put \\& or \\@ or \\# in place of & or @ or #, respectively."
765,,,,please specify a file path and use a file path to a folder that you have permissions on.for example try saving the plot to your desktop and it should work fine
766,,,,"dear shambhu,it's not working .ngspice has stopped working for this project.please find following link.linkregrads,biren"
767,,,,"as this is ""embedding php"" tutorial, we are using html and php is embedded in it. those tags are html tags which are necessary to create a web page interface."
768,,,,yes. you are right. it should be line.split(';')
769,,,,please note that the two conditions should be added as shown below:played>20 & lost > 14
770,,,,we are unable to understand your question vishu sharma.  can you pls clarify?nancy varkeyspoken tutorial project
771,,,,"how did you create the user that you are now assigning as a teacher? when you create a user, you either need to assign a password to the user or select for automatic generation of password and emailing it to the user."
772,,,,yes. please ensure that you have installed rstudio as well to follow this series. 
773,,,,what is error you are getting?
774,,,,is this your entire code?
775,,,,"hello deepak,i am sorry to inform you that openfoam runs only on linux os.   however, it runs on all flavours of linux like ubuntu, fedora and suse.  more info is available on the openfoam  website http://www.openfoam.org"
776,,,,kindly extract (unzip) the code files or slides to use them.
777,,,,"change c1's value to 100pand c2's value to 0.01umake step time=50e-09, stop time=5e-06add a global label at the place where you have added a plot_vredo the necessary steps and this will work"
778,,,,both r and rstudio need to be installed. rstudio will not work without installing r
779,,,,"you are free to install the latest versions of r/rstudio. depending upon the version you choose to install, you might notice some minute changes in the user interface between your version of rstudio and the version used in our tutorials. "
780,,,,"sir getting error  arduino: 1.6.9 (windows 8.1), board: ""arduino/genuino uno""sketch uses 846 bytes (2%) of program storage space. maximum is 32,256 bytes.global variables use 9 bytes (0%) of dynamic memory, leaving 2,039 bytes for local variables. maximum is 2,048 bytes.avrdude: stk500_recv(): programmer is not respondingavrdude: stk500_getsync() attempt 1 of 10: not in sync: resp=0x0favrdude: stk500_recv(): programmer is not respondingavrdude: stk500_getsync() attempt 2 of 10: not in sync: resp=0x0favrdude: stk500_recv(): programmer is not respondingavrdude: stk500_getsync() attempt 3 of 10: not in sync: resp=0x0favrdude: stk500_recv(): programmer is not respondingavrdude: stk500_getsync() attempt 4 of 10: not in sync: resp=0x0favrdude: stk500_recv(): programmer is not respondingavrdude: stk500_getsync() attempt 5 of 10: not in sync: resp=0x0favrdude: stk500_recv(): programmer is not respondingproblem uploading to board.  see http://www.arduino.cc/en/guide/troubleshooting#upload for suggestions.avrdude: stk500_getsync() attempt 6 of 10: not in sync: resp=0x0favrdude: stk500_recv(): programmer is not respondingavrdude: stk500_getsync() attempt 7 of 10: not in sync: resp=0x0favrdude: stk500_recv(): programmer is not respondingavrdude: stk500_getsync() attempt 8 of 10: not in sync: resp=0x0favrdude: stk500_recv(): programmer is not respondingavrdude: stk500_getsync() attempt 9 of 10: not in sync: resp=0x0favrdude: stk500_recv(): programmer is not respondingavrdude: stk500_getsync() attempt 10 of 10: not in sync: resp=0x0fthis report would have more information with""show verbose output during compilation""option enabled in file -> preferences."
781,,,,
782,,,,"reason for output : 24as ++ having higher priority than + operation first both ++ will be executed so even before performing + operation value of a will be 12.above is true for 2 operand and one operator at a time.a=10;printf(""%d"",a=++a + ++a + ++a);13 12 12output = 37as first two ++a will make 24 and then ++a will be taken in operation so 13 will be added so output will be 37a=10;printf(""%d"",a=++a + ++a + ++a + ++a);14 13 12 12 = 51"
783,,,,"     please use ""fix hydrogens and minimize"" option in the model kit menu to add hydrogens to a model."
784,,,,"can you kindly elaborate on what you are referring to when you say ""transfer function""?"
785,,,,can you please post the matrix which you are using right now?
786,,,,"to get a prompt window press ""tab"" key on your keyboard after pressing 'p'."
787,,,,"if you will change grading your mesh will not define correctly. you will see circular face with distracted gradings. you can try and check how that will loose uniformity of the mesh in here.thanks,divyesh"
788,,,,please follow the below instruction sheet given to you in the workshop:steps to follow for installing device driver for arduino board with ch340 chip.(arduino board given to you for this workshop)
789,,,,"sorry, to practise these tutorials, one needs a laptop or a desktop."
790,,,,"please use read.csv to read the file, make changes and then write.csv function to save your changes. "
791,,,,"please follow the below steps for creating, compiling and executing the program:1. create a folder on your desktop ""practice"".2. open notepad++ and create a first program shown in the video.3. goto file -> save as and save the program under desktop -> practice with name as ""talk.c"" (name of the program file)4. open command prompt and give the full path of your ""practice"" folder and press enter.for example:   cd ""c:\users\user\desktop\practice\"" 5. to compile the program, write down below command: gcc talk.c -o myoutput6. to execute the program, write down below command:myoutput7. output will be shown...."
792,,,,"maximum free storage of google drive/account is 15gb.however, you can buy more storage like 100 gb by paying a monthly or annual fee to google.let us know if you need any further help regarding this matter. will be happy to help."
793,,,,"please don't delete 0 folder in this tutorial. we will be simulating this pipe later in this series, where we need it. better to rename it to 0.orig.thanks,divyesh variya"
794,,,,https://www.scilab.org/tutorials/getting-started/plotting#sec2for bar graphs :https://help.scilab.org/docs/6.0.0/en_us/bar.htmlhttps://in.mathworks.com/help/symbolic/mupad_ug/create-bar-charts-histograms-and-pie-charts.html (matlab codes but most of the time can work on scilab)for piechart :https://help.scilab.org/docs/6.0.0/en_us/pie.html
795,,,,it will ask the user before accessing the website that whether he is above that age limit or not!! if he is then he will be able to move futher
796,,,,we will soon be conducting an online workshop with certification on dwsim. we will release the details soon. please stay tuned to https:// dwsim.fossee.in for the updates.
797,,,,"#include<studio.h>int main(){printf(""welcome to the"");printf(""world of c"");return 0;}if we don't use /n the output will be ""welcome to the world of c"""
798,,,,"this is about procuring books/any items by placing purchase order to the vendors, after adding titles to the basket it need to be closed before placing order and shipment is about receiving the ordered titles/items. "
799,,,,"yes moodle is very helpful for teachers. you can see the tutorial ""overview of moodle"" to understand what moodle can do and kind of websites that use moodle. "
800,,,,"dear user,there are several numpy functions available for the same. you will also get documentation in search results on internet for fast fourier analysis with python. hope this helps."
801,,,,bash: ngspice: command not found
802,,,,"placing an order for a book and enquire about the availability of the book from the vendor are two different functions. you can place email order to the vendor using koha, you have to place the order after confirming the items and price from the vendor, enquiry you have to do outside the koha. "
803,,,,dear dileepyou can get in touch with respective state manager and clear your doubt. click on link provided below to view the contact details. http://process.spoken-tutorial.org/index.php/software-training#contacts_for_trainingpratik kamble
804,,,,"for storing and executing the commands in a file, use scinotes.to create a scinote, type scinote on a scilab console. after completing a program save that file with extension .sce and hit the execute button (ctrl + l)."
805,,,,"it doesn't matter which os you use. python is compatible with windows, mac and linux. it is recommended that you start out with the os that you are comfortable with."
806,,,,we have uploaded the intermediate level.
807,,,,"#include<stdio.h>int main (){printf(""welcome to the"");printf(""world of c"");return 0;}so when we don't use \n then the output will be welcome to theworld of c"
808,,,,could you tell us how the problem was solved? you had mentioned you did some tweaks in the code.
809,,,,"delighted to know that you are interested in knowing about a possibletest and a certificate in the spoken tutorial courses.our tests are offered ""only through colleges"" at a nominal cost.  we suggestthat you study using our course material during the covid-19 lock down.our tutorials are created for self learning.  please use the forum to ask yourdoubts, as explained in a video on the course page.on your return after your college reopens, tests can be arranged inyour colleges.  for more details, please contact your state representative athttps://process.spoken-tutorial.org/index.php/software-training#contacts_for_training- both phone numbers and email addresses are given in this link."
810,,,,"#include<iostream>using namespace std;int mun(int num){int square=num*num;}int main(){int square;square=mun(16);cout<<""square is %d\n""<<square;return 0;}"
811,,,,please share the commands where you are facing the issues mentioned above. 
812,,,,please refer to the solution given here: https://www.programmingr.com/r-error-messages/used-without-hex-digits-in-character-string-starting/
813,,,,that's because you are not using the latest version of esim as mandated. you can use npn.lib instead of bc547b.lib and d.lib instead of led.lib.
814,,,,"yes you can, use the xcos "
815,,,,"please check if you have the file present in the specified directory, also on windows use ""!type filename.txt""."
816,,,,"it can be done in multiple ways.  there could be some attachments, on opening which, some bad things can happen.  mails can also point you to some web resources, on accessing which, some bad things can happen.  to be safe, one should not do these if the mail is from someone you don't know or don't trust."
817,,,,"the post further says:""thank you very much for providing us an amazing opportunity to learn and update ourselves about very useful and important platform in the field of on-line teaching and learning. i personally learned and enjoyed a lot by watching videos especially “teacher dashboard in moodle” and onwards. thank you. regards dr. sukhpal singh, assistant professor (physics) , dept. of basic and applied sciences, punjabi university, patiala-147002""congratulations and a round of applause to the spoken tutorials team!"
818,,,,"if you follow the method explained in the tutorial that i mentioned above, it will install all missing packages.  if some package is not found, it means that all packages did not get installed, for some reason or other: not having internet access could be one reason, for example.i will now suggest a less elegant solution (you should actually try the method explained in the tutorial):  search for the missing file (in your case, pdfescape.sty) and download it.  move it to the current directory.  similarly, download ""all"" missing files, and move them to the current directory.  the program should compile now.  but you can see that this is not at all elegant.  you need to keep all the missing files in every directory."
819,,,,"you seem to be displaying, starting from i=2, as a result of the statement i=i+2."
820,,,,it is case sensitive
821,,,,"dear learner,delighted to know that you are interested in knowing about a possible test and a certificate in the spoken tutorial courses.our tests are offered ""only through colleges"" at a nominal cost.  we suggest that you study using our course material during the covid-19 lock down. our tutorials are created for self learning.  please use the forum to ask your doubts, as explained in a video on the course page.for more details, please contact your state representative at https://process.spoken-tutorial.org/index.php/software-training#contacts_for_training - both phone numbers and email addresses are given in this link.happy learning,spoken tutorial team"
822,,,,"i created a function, when i m trying to call it with my data at that time.figarchfit = function(spec, data, out.sample = 0, solver = ""solnp"", solver.control = list(),                       fit.control = list(stationarity = 1, fixed.se = 0, scale = 0, rec.init = 'all',trunclag = 1000),                       numderiv.control = list(grad.eps=1e-4, grad.d=0.0001, grad.zero.tol=sqrt(.machine$double.eps/7e-7),                                               hess.eps=1e-4, hess.d=0.1, hess.zero.tol=sqrt(.machine$double.eps/7e-7), r=4, v=2))"
823,,,,the python interpreter is used to interpret and run python code line by line.
824,,,,"please see the documentation here https://ipython.org/install.htmlplease provide details on what you have tried. what errors you faced, in case of errors please paste the error reports here or in an image and provide link to the imageyou can try using anaconda python environment  https://docs.anaconda.com/anaconda/install/"
825,,,,"dear sir/madam,if you have given the value of dc source in the schematic then no need of giving it in source tab of kicadtongspice converter.if not mentioned in the schematic, then you need to specify in the source tab."
826,,,,"hi vanihba,what is the error that you get. we can answer it in a much better way if you tell us the error.also did you run decomposepar to decompose the geometry before running it in parallel.you could try running this command as well : mpirun -np 8 mapfields sourcecase -parallelthanks,rahul joshi"
827,,,,please elaborate.
828,,,,"please check the version of your rstudio. the tutorials have been recorded on rstudio version 1.1.456 and 1.1.463. if you are also using the same version, the broom icon should be visible in the upper right corner of the console window. please note that this icon is a bit faded. so, you might need to look carefully. "
829,,,,"check the steps 6,7,8 in the sheet. the xampp service should run without any errors. rectify the error and then install moodle.in your computer, check whether the port is occupied by some other software. you need to assign different port number if it gives error. "
830,,,,place a pwr_flag on the node where you are getting error.
831,,,,"from 04:14 the tutorial ""latex on windows using texworks"" helps you how to install the necessary packages. kindly follow the same."
